dataset,method,n_nodes,n_edges,k%,k_frac,delta_L,resolution,budget_B,n_cases,coverage,purity_induced,ocr_b100,edges_per_case_median,edges_per_case_max,e_ind_total,time_s,ram_mb
amazon_fraud,B0_Random,11944,500000,10%,0.1,5000,1.0,100,1000.0,0.03208267618494231,0.18252656434474615,0.0,0.0,100.0,4235.0,0.11039560299832374,-0.53515625
amazon_fraud,B1_WCC,11944,500000,1%,0.01,5000,1.0,100,115.0,0.014567942226280401,0.9460916442048517,0.0,2.0,100.0,371.0,0.0750975099945208,-3.0
amazon_fraud,B1_WCC,11944,500000,5%,0.05,5000,1.0,100,30.0,0.004814476633186685,0.8592592592592593,0.0,1.0,100.0,135.0,0.14272293799149338,-2.98828125
amazon_fraud,B1_WCC,11944,500000,10%,0.1,5000,1.0,100,31.0,0.004316427326305304,0.7938931297709924,0.0,1.0,100.0,131.0,0.19858233699051198,-0.99609375
amazon_fraud,B2_Louvain,11944,500000,1%,0.01,5000,1.0,100,150.0,0.0933427409313522,0.6331644144144144,0.0,2.0,100.0,3552.0,0.06334485398838297,-0.73828125
amazon_fraud,B2_Louvain,11944,500000,5%,0.05,5000,1.0,100,50.0,0.06271270855814726,0.7161137440758294,0.0,2.0,100.0,2110.0,0.12370994899538346,0.0
amazon_fraud,B2_Louvain,11944,500000,10%,0.1,5000,1.0,100,74.0,0.04565451979745995,0.6057268722466961,0.0,2.0,100.0,1816.0,0.23422863500309177,0.0
amazon_fraud,B3_Greedy,11944,500000,1%,0.01,5000,1.0,100,354.0,0.10757865028637835,0.1158953722334004,0.0,99.0,100.0,22365.0,13.641028879996156,39.0
amazon_fraud,B3_Greedy,11944,500000,5%,0.05,5000,1.0,100,485.0,0.11351373786004815,0.1209641751437417,0.0,8.0,100.0,22610.0,14.088826716004405,0.875
amazon_fraud,B3_Greedy,11944,500000,10%,0.1,5000,1.0,100,597.0,0.11351373786004815,0.11989303875153429,0.0,3.0,100.0,22812.0,14.715923591997125,0.0
yelp_fraud,BTCS_v3,45954,500000,1%,0.01,5000,1.0,100,2649.0,0.04108122680706651,0.9382470119521913,0.0,1.0,80.0,5522.0,0.10503486399829853,-9.0
yelp_fraud,BTCS_v3,45954,500000,5%,0.05,5000,1.0,100,3532.0,0.15860794823813,0.7959175553079739,0.0,4.0,100.0,25132.0,0.5786631369992392,-13.9921875
